afgh_buld011_wndw001_gim_n0007|srt_mtbs_dvsn000
afgh_char002_gim_n0000|srt_afgh_char002
afgh_char002_gim_n0001|srt_afgh_char002
afgh_char002_gim_n0002|srt_afgh_char002
afgh_char002_gim_n0003|srt_afgh_char002
afgh_char002_gim_n0005|srt_afgh_char002
afgh_char002_gim_n0006|srt_afgh_char002
afgh_char002_gim_n0008|srt_afgh_char002
afgh_char003_gim_n0002|srt_afgh_char003
afgh_chnd001_gim_n0000|srt_afgh_chnd001
afgh_chnd001_gim_n0001|srt_afgh_chnd001
afgh_chnd001_gim_n0002|srt_afgh_chnd001
afgh_chnd001_gim_n0003|srt_afgh_chnd001
afgh_chnd001_gim_n0004|srt_afgh_chnd001
afgh_chnd001_gim_n0005|srt_afgh_chnd001
afgh_chnd001_gim_n0006|srt_afgh_chnd001
afgh_dish002_gim_n0000|srt_afgh_dish002
afgh_dish006_gim_n0009|srt_s_afgh_field_lod1_g8
afgh_dish006_vrtn003_gim_n0000|srt_afgh_dish006_vrtn003
afgh_pddl001_vrtn050_gim_n0009|srt_mtbs_duct003_vrtn003
afgh_rbbl010_vrtn002_gim_n0005|srt_afgh_pipe007_stfr001
afgh_sign001_vrtn003_gim_n0001|srt_afgh_sign001_vrtn003
afgh_sign001_vrtn003_gim_n0002|srt_afgh_sign001_vrtn003
afgh_sign001_vrtn003_gim_n0003|srt_afgh_sign001_vrtn003
afgh_sign001_vrtn003_gim_n0004|srt_afgh_sign001_vrtn003
afgh_sign001_vrtn003_gim_n0005|srt_afgh_sign001_vrtn003
afgh_sign001_vrtn003_gim_n0006|srt_afgh_sign001_vrtn003
afgh_sign001_vrtn003_gim_n0008|srt_afgh_sign001_vrtn003
afgh_sign001_vrtn003_gim_n0009|srt_afgh_sign001_vrtn003
afgh_tent005_gim_n0000|srt_afgh_tent005
afgh_tent005_gim_n0001|srt_afgh_tent005
afgh_tool001_gim_n0000|srt_afgh_tool001
afgh_tool001_gim_n0001|srt_afgh_tool001
afgh_tool001_gim_n0002|srt_afgh_tool001
afgh_tool001_gim_n0003|srt_afgh_tool001
afgh_tool001_gim_n0004|srt_afgh_tool001
